points,neighbors,projection,projectioncount,avgtime,avgcost,avgsucctime,avgsucccost,success,failed,r1c,r2c,r3c,r4c,r5c,r6c,r7c,r8c,r9c,r10c,it1,it2,it3,it4,it5,it6,it7,it8,it9,it10,r1t,r2t,r3t,r4t,r5t,r6t,r7t,r8t,r9t,r10t
100,1,None,3,6.100166,0.000000,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,6.09,6.10,6.07,6.10,6.11,6.17,6.10,6.08,6.10,6.07
200,1,None,3,11.371980,0.049497,nan,nan,0,10,0.082135,0.000000,0.092807,0.087555,0.000000,0.000000,0.079487,0.080748,0.072238,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,11.31,11.30,11.35,11.37,11.30,11.41,11.36,11.37,11.34,11.60
300,1,None,3,16.624536,0.000000,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,16.62,16.61,16.80,16.60,16.67,16.66,16.60,16.60,16.56,16.52
400,1,None,3,21.963391,0.000000,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,21.92,21.89,21.90,21.94,22.04,22.14,21.99,21.96,21.98,21.88
500,1,None,3,27.113857,0.010993,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063816,0.046110,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,27.09,26.98,27.16,27.19,27.24,26.96,27.06,27.18,27.18,27.10
600,1,None,3,32.019312,0.024389,nan,nan,0,10,0.054338,0.000000,0.000000,0.071221,0.000000,0.047129,0.000000,0.071202,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,32.45,32.32,27.91,32.44,32.66,32.68,32.65,32.41,32.31,32.36
700,1,None,3,37.785894,0.000000,nan,nan,0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,37.65,38.03,38.00,37.76,37.83,37.68,37.78,37.78,37.84,37.51
800,1,None,3,42.967224,0.008777,nan,nan,0,10,0.000000,0.000000,0.039255,0.000000,0.000000,0.000000,0.000000,0.048520,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,42.83,42.75,42.98,42.83,43.10,43.02,43.08,42.93,42.98,43.17
900,1,None,3,48.222222,0.003310,nan,nan,0,10,0.000003,0.000000,0.033095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,48.18,48.14,48.52,48.11,48.21,48.12,48.33,48.19,48.23,48.18
1000,1,None,3,53.563129,0.017330,nan,nan,0,10,0.044364,0.034062,0.000000,0.061481,0.000000,0.000000,0.000000,0.000000,0.033387,0.000001,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,53.55,53.83,53.70,53.65,53.32,53.58,53.64,53.48,53.40,53.49
1100,1,None,3,58.815922,0.017019,nan,nan,0,10,0.000000,0.000000,0.043892,0.039472,0.000000,0.043909,0.000000,0.000000,0.000000,0.042920,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,58.65,59.03,59.01,58.70,59.01,58.66,58.91,58.43,58.85,58.92
